Time,ZN-T.Trend (deg F),,,
8/30/20 9:30:00 PM CDT,75.20352,,,
8/30/20 9:40:00 PM CDT,75.20352,,,
8/30/20 9:50:00 PM CDT,75.20352,,,
8/30/20 10:00:00 PM CDT,75.20352,,,
8/30/20 10:10:00 PM CDT,75.20352,,,
8/30/20 10:20:00 PM CDT,75.20352,,,
8/30/20 10:30:00 PM CDT,75.20352,,,
8/30/20 10:40:00 PM CDT,74.89974,,,
8/30/20 10:50:00 PM CDT,110.17054,,,
8/30/20 11:00:00 PM CDT,91.30939,,,
8/30/20 11:10:00 PM CDT,81.697075,,,
8/30/20 11:20:00 PM CDT,77.94705,,,
8/30/20 11:30:00 PM CDT,76.33295,,,
8/30/20 11:40:00 PM CDT,75.68784,,,
8/30/20 11:50:00 PM CDT,75.3808,,,
